Country ,Average Life Expectancy 
Afghanistan,59.65625
Albania,75.95
Algeria,73.7875
Angola,52.825
Antigua and Barbuda,75.35
Argentina,74.8625
Armenia,72.9875
Australia,81.1125
Austria,79.975
Azerbaijan,69.725
Bahrain,75.6625
Bangladesh,68.725
Barbados,78.1
Belarus,70.2875
Belgium,79.55
Belize,71.175
Benin,58.20625
Bhutan,66.45625
Bolivia,66.5875
Bosnia and Herzegovina,75.63125
Botswana,57.0375
Brazil,72.69375
Brunei,74.3
Bulgaria,73.15
Burkina Faso,55.2
Burundi,55.08125
Cambodia,64.4
Cameroon,54.03125
Canada,80.6125
Cape Verde,70.6375
Central African Republic,46.48125
Chad,49.94375
Chile,78.14375
China,73.6875
Colombia,74.8125
Comoros,61.14375
"Congo, Rep.",57.73125
Costa Rica,78.46875
Croatia,75.8125
Cuba,77.89375
Cyprus,79.08125
Czech Republic,76.78125
Democratic Republic of the Congo,55.06875
Denmark,78.54375
Djibouti,59.4875
Dominican Republic,71.38125
East Timor,64.94375
Ecuador,74.55625
Egypt,69.9125
El Salvador,70.6625
Equatorial Guinea,55.13125
Eritrea,60.28125
Estonia,73.81875
Ethiopia,58.76875
Federated States of Micronesia,65.96875
Fiji,66.48125
Finland,79.5
France,80.9125
Gabon,60.35
Gambia,58.68125
Georgia,71.15625
Germany,79.475
Ghana,59.8375
Greece,79.7625
Grenada,72.85
Guatemala,70.61875
Guinea,55.10625
Guinea Bissau,53.525
Guyana,67.33125
Haiti,59.65625
Honduras,72.65625
Hungary,73.64375
Iceland,81.575
India,65.5875
Indonesia,68.26875
Iran,72.96875
Iraq,68.78125
Ireland,79.48125
Israel,80.79375
Italy,81.3875
Ivory Coast,51.95
Jamaica,74.06875
Japan,82.45625
Jordan,72.9875
Kazakhstan,67.73125
Kenya,57.775
Kiribati,65.1625
Kuwait,74.01875
Kyrgyzstan,68.9625
Laos,62.875
Latvia,72.35625
Lebanon,77.3125
Lesotho,45.60625
Liberia,57.29375
Libya,71.79375
Lithuania,72.56875
Luxembourg,79.9375
Macedonia,74.225
Madagascar,62.225
Malawi,52.2875
Malaysia,74.0375
Maldives,74.5125
Mali,53.35625
Malta,80.01875
Mauritania,62.0625
Mauritius,72.85
Mexico,75.0125
Moldova,68.925
Mongolia,66.175
Montenegro,74.75625
Morocco,72.76875
Mozambique,51.88125
Myanmar,62.7
Namibia,54.875
Nepal,66.28125
Netherlands,79.96875
New Zealand,80.1875
Nicaragua,71.74375
Niger,55.36875
Nigeria,49.58125
Norway,80.48125
Oman,74.80625
Pakistan,64.65625
Panama,76.375
Papua New Guinea,61.29375
Paraguay,72.16875
Peru,73.59375
Philippines,69.5375
Poland,75.625
Portugal,78.74375
Qatar,78.6625
Republic of Serbia,73.64375
Romania,72.88125
Russia,67.75
Rwanda,58.95
Saint Lucia,74.475
Saint Vincent and the Grenadines,71.50625
Samoa,70.9375
Sao Tome and Principe,65.84375
Saudi Arabia,73.63125
Senegal,62.38125
Seychelles,72.8375
Sierra Leone,46.7
Singapore,80.53125
Slovakia,74.7875
Slovenia,78.44375
Solomon Islands,69.9
Somalia,53.24375
South Africa,56.78125
Spain,81.10625
Sri Lanka,74.6875
Suriname,69.61875
Swaziland,46.69375
Sweden,80.99375
Switzerland,81.675
Syria,72.60625
Tajikistan,66.975
Thailand,73.2
The Bahamas,72.20625
Togo,56.2625
Tonga,69.99375
Trinidad and Tobago,71.28125
Tunisia,74.6
Turkey,73.41875
Turkmenistan,65.7875
Uganda,54.2125
Ukraine,69.225
United Arab Emirates,75.84375
United Kingdom,79.6125
United Republic of Tanzania,56.625
United States of America,77.9
Uruguay,76.20625
Uzbekistan,69.0375
Vanuatu,68.7125
Venezuela,72.79375
Vietnam,74.33125
Yemen,64.1625
Zambia,52.33125
Zimbabwe,48.6625
Grand Total,68.85607542
